varname,label,description
fara_lapop1_10share,Percentage of low access population at 1 mile for urban and 10 miles for rural,Percentage of low access population at 1 mile for urban and 10 miles for rural
fara_lapop1_20share,Percentage of low access population at 1 mile for urban and 20 miles for rural,Percentage of low access population at 1 mile for urban and 20 miles for rural
fara_lapop1share,Percentage of low access population at 1 mile,Percentage of low access population at 1 mile
fara_lapop20share,Percentage of low access population at 20 mile,Percentage of low access population at 20 mile
fara_lapophalfshare,Percentage of low access population at 1/2 mile,Percentage of low access population at 1/2 mile
fara_laseniors10share,Percentage of low access population that are seniors at 10 mile,Percentage of low access population that are seniors at 10 mile
fara_laseniors1_10share,Percentage of seniors age 65+ with low access at 1 mile for urban and 10 miles for rural,Percentage of seniors age 65+ with low access at 1 mile for urban and 10 miles for rural
fara_laseniors1share,Percentage of low access population that are seniors at 1 mile,Percentage of low access population that are seniors at 1 mile
fara_laseniors20share,Percentage of low access population that are seniors at 20 mile,Percentage of low access population that are seniors at 20 mile
fara_laseniorshalfshare,Percentage of low access population that are seniors at 1/2 mile,Percentage of low access population that are seniors at 1/2 mile
fara_latracts1,Flag for low access tract at 1 mile,Flag for low access tract at 1 mile
fara_latracts10,Flag for low access tract at 10 miles,Flag for low access tract at 10 miles
fara_latracts20,Flag for low access tract at 20 miles,Flag for low access tract at 20 miles
fara_latracts_half,Flag for low access tract at 0.5 mile,Flag for low access tract at 0.5 mile
fara_latracts_vehicle_20,Flag for low access tract using vehicle access and at 20 miles  in rural areas,Flag for low access tract using vehicle access and at 20 miles  in rural areas
fara_lilatracts_1_and10,Flag for low income low access tracts at 1 mile for urban and 10 miles for rural,Flag for low income low access tracts at 1 mile for urban and 10 miles for rural
fara_lilatracts_1_and20,Flag for low income low access tracts at 1 mile for urban and 20 miles for rural,Flag for low income low access tracts at 1 mile for urban and 20 miles for rural
fara_lilatracts_half_and10,Flag for low income low access tracts at 0.5 mile for urban and 10 miles for rural,Flag for low income low access tracts at 0.5 mile for urban and 10 miles for rural
fara_low_income_tracts,Flag for low income tract,Flag for low income tract
fara_pctgqtrs,Percent of tract population residing in group quarters,Percent of tract population residing in group quarters
vnl_value_aw,Night-time radiance,Annual mean night-time light radiance (nanowatts/cm^2/sr) from the VIIRS Day/Night Band.
soc_r_bowling,Bowling centers,"Number of establishments in bowling centers per 10,000 population."
soc_r_business,Business associations,"Number of establishments in business associations per 10,000 population."
soc_r_civic,Civic & social associations,"Number of establishments in civic and social associations per 10,000 population."
soc_r_golf,Golf courses & country clubs,"Number of establishments in golf courses and country clubs per 10,000 population."
soc_r_labor,Labor organizations,"Number of establishments in labor organizations per 10,000 population."
soc_r_political,Political organizations,"Number of establishments in political organizations per 10,000 population."
soc_r_professional,Professional organizations,"Number of establishments in professional organizations per 10,000 population."
soc_r_recreational,Fitness & recreational sports centers,"Number of establishments in fitness and recreational sports centers per 10,000 population."
soc_r_religious,Religious organizations,"Number of establishments in religious organizations per 10,000 population."
soc_r_sports,Sports teams & clubs,"Number of establishments in sports teams and clubs per 10,000 population."
